연도,대상사고 구분명,사고건수,사망자수,부상자수,인구10만명당 사고건수,자동차1만대당 사고건수,과속,중앙선 침범,신호위반,안전거리 미확보,안전운전 의무 불이행,보행자 보호의무 위반,기타,차대사람,차대차,차량단독,철길건널목,법정동코드
2020,전체,35227,219,47513,366.88,96.3,102,953,4103,5110,19537,1322,2922,7671,26508,1048,0,1100
2020,어린이사고,928,2,1078,,,,,,,,,,,,,,1100
2020,노인사고,5056,86,5279,,,,,,,,,,,,,,1100
2020,보행자사고,7705,115,7841,,,,,,,,,,,,,,1100
2020,자전거사고,1802,14,2018,,,,,,,,,,,,,,1100
2020,야간사고,15381,117,21406,,,,,,,,,,,,,,1100
2020,어린이보행사고,273,2,276,,,,,,,,,,,,,,1100
2020,스쿨존내어린이사고,65,0,70,,,,,,,,,,,,,,1100
2020,고령운전사고,5318,44,7037,,,,,,,,,,,,,,1100
2020,고령보행사고,1805,59,1767,,,,,,,,,,,,,,1100
2020,PM사고,387,1,420,,,,,,,,,,,,,,1100
2020,뺑소니사고,751,2,1105,,,,,,,,,,,,,,1100
2020,무면허사고,571,5,774,,,,,,,,,,,,,,1100
2020,전체,903,5,1224,567.94,142.25,0,31,108,166,463,30,70,223,648,32,0,1101
2020,어린이사고,16,0,19,,,,,,,,,,,,,,1101
2020,노인사고,147,2,153,,,,,,,,,,,,,,1101
2020,보행자사고,226,2,234,,,,,,,,,,,,,,1101
2020,자전거사고,20,1,23,,,,,,,,,,,,,,1101
2020,야간사고,377,1,520,,,,,,,,,,,,,,1101
2020,어린이보행사고,2,0,3,,,,,,,,,,,,,,1101
2020,스쿨존내어린이사고,1,0,1,,,,,,,,,,,,,,1101
2020,고령운전사고,145,0,202,,,,,,,,,,,,,,1101
2020,고령보행사고,57,2,56,,,,,,,,,,,,,,1101
2020,PM사고,7,0,8,,,,,,,,,,,,,,1101
2020,뺑소니사고,31,0,44,,,,,,,,,,,,,,1101
2020,무면허사고,8,0,10,,,,,,,,,,,,,,1101
2020,전체,955,6,1248,709.33,145.68,3,30,118,197,480,24,58,239,678,38,0,1102
2020,어린이사고,14,0,15,,,,,,,,,,,,,,1102
2020,노인사고,161,2,163,,,,,,,,,,,,,,1102
2020,보행자사고,246,1,254,,,,,,,,,,,,,,1102
2020,자전거사고,20,0,21,,,,,,,,,,,,,,1102
2020,야간사고,411,4,548,,,,,,,,,,,,,,1102
2020,어린이보행사고,7,0,7,,,,,,,,,,,,,,1102
2020,스쿨존내어린이사고,2,0,2,,,,,,,,,,,,,,1102
2020,고령운전사고,175,0,224,,,,,,,,,,,,,,1102
2020,고령보행사고,67,1,66,,,,,,,,,,,,,,1102
2020,PM사고,8,0,9,,,,,,,,,,,,,,1102
2020,뺑소니사고,14,0,17,,,,,,,,,,,,,,1102
2020,무면허사고,15,0,18,,,,,,,,,,,,,,1102
2020,전체,890,12,1178,363.79,92.94,10,24,96,154,509,14,57,155,697,38,0,1103
2020,어린이사고,24,0,28,,,,,,,,,,,,,,1103
2020,노인사고,95,4,97,,,,,,,,,,,,,,1103
2020,보행자사고,159,6,158,,,,,,,,,,,,,,1103
2020,자전거사고,18,0,22,,,,,,,,,,,,,,1103
2020,야간사고,399,6,575,,,,,,,,,,,,,,1103
2020,어린이보행사고,8,0,8,,,,,,,,,,,,,,1103
2020,스쿨존내어린이사고,2,0,2,,,,,,,,,,,,,,1103
2020,고령운전사고,116,2,143,,,,,,,,,,,,,,1103
2020,고령보행사고,31,4,28,,,,,,,,,,,,,,1103
2020,PM사고,4,0,4,,,,,,,,,,,,,,1103
